Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
122,EP30H-144h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,144.0,45,nanocrystal,,,,,,EMT,
123,EP30H-384h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,384.0,45,nanocrystal,1.0,,,,,EMT,
124,EP30H-10,36.9,1.0,4.0,450,Fumed silica,,No,Al(OH)3,No,No,0.10840108401084012,4.0,72.0,45,,1.0,,,,13.3,EMT + RHO,
125,EP30H-11,36.9,1.0,4.0,450,TEOS,5.0,No,Al(OH)3,No,No,0.10840108401084012,4.0,72.0,45,,,,,,13.3,EMT + LTA + RHO,
126,EP30H-12,36.9,1.0,4.0,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.10840108401084012,4.0,72.0,45,,,,,,13.5,EMT + RHO,
127,EP30H-13,44.3,1.0,4.0,450,Fumed silica,,No,Al(OH)3,No,No,0.09029345372460497,4.0,72.0,45,nanocrystal,,,,,13.5,EMT,
128,EP30H-14+7.4 NaCl,36.9,1.0,4.0,450,Fumed silica,,No,Al(OH)3,No,No,0.10840108401084012,4.0,72.0,45,,,,,,13.3,EMT + SOD,
129,EP12-1,36.9,5.15,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.13956639566395665,1.0,72.0,40,,,,,,13.9,EMT + LTA,
130,EP19-1,36.9,3.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.13956639566395665,1.7166666666666668,72.0,40,,,,,,13.9,EMT + RHO,
131,EP01-1,36.9,2.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.13956639566395665,2.575,72.0,40,,,,,,13.5,EMT + RHO,
