Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),Product 
123,EP30H-384h,36.9,1.0,4.0,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10840108401084012,4.0,384.0,45,EMT
125,EP30H-11,36.9,1.0,4.0,450,TEOS,5,No,Al(OH)3,No,0.10840108401084012,4.0,72.0,45,EMT + LTA + RHO
126,EP30H-12,36.9,1.0,4.0,450,Ludox-AS40,22,No,Al(OH)3,No,0.10840108401084012,4.0,72.0,45,EMT + RHO
127,EP30H-13,44.3,1.0,4.0,450,Fumed silica,5,No,Al(OH)3,No,0.09029345372460497,4.0,72.0,45,EMT
129,EP12-1,36.9,5.15,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,1.0,72.0,40,EMT + LTA
130,EP19-1,36.9,3.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,1.7166666666666668,72.0,40,EMT + RHO
131,EP01-1,36.9,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,2.575,72.0,40,EMT + RHO
132,EP11-1,36.9,1.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,5.15,72.0,40,EMT + RHO
133,EP61,42.44,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.12134778510838833,2.575,72.0,40,EMT + RHO
134,EP62,47.97,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.10735876589535127,2.575,72.0,40,EMT + RHO
135,EP63,36.9,2.0,5.15,450,Ludox-AS40,22,No,Al(OH)3,No,0.13956639566395665,2.575,48.0,30,EMT
136,FE01,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,Amorphous
137,FE02,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,Amorphous+FAU
138,FE03,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,FAU-EMT
139,FE04,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,FAU-EMT
140,FE05,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,120.0,65,FAU-EMT
141,FE06,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,144.0,65,FAU-EMT + GIS
142,FE07,11.0,2.0,5.0,190,Na2SiO3,2,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,168.0,65,FAU-EMT + GIS
143,FE08-1,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,Amorphous + FAU-EMT
144,FE08-2,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,FAU-EMT
145,FE08-3,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,FAU-EMT
146,FE08-4,11.0,2.0,5.0,190,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,FAU-EMT +GIS
147,FE09-1,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,24.0,65,LTA
148,FE09-2,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,48.0,65,LTA
149,FE09-3,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,72.0,65,LTA
